practices.thisRepN,practices.thisTrialN,practices.thisN,practices.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,slider.response,slider.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,4.0,9.447328599984758,26,001,2019_Nov_21_1250,001,3.0.7,60.013310955915614,
1,0,1,0,,,,,5.0,5.027681099949405,26,001,2019_Nov_21_1250,001,3.0.7,60.013310955915614,
2,0,2,0,,,,,4.0,4.930446100013796,26,001,2019_Nov_21_1250,001,3.0.7,60.013310955915614,
3,0,3,0,,,,,5.0,2.547234900004696,26,001,2019_Nov_21_1250,001,3.0.7,60.013310955915614,
4,0,4,0,,,,,5.0,2.714751299994532,26,001,2019_Nov_21_1250,001,3.0.7,60.013310955915614,
5,0,5,0,,,,,5.0,4.097341599990614,26,001,2019_Nov_21_1250,001,3.0.7,60.013310955915614,
6,0,6,0,,,,,3.0,4.597086600027978,26,001,2019_Nov_21_1250,001,3.0.7,60.013310955915614,
7,0,7,0,,,,,5.0,3.0305366999818943,26,001,2019_Nov_21_1250,001,3.0.7,60.013310955915614,
8,0,8,0,,,,,4.0,6.164012100023683,26,001,2019_Nov_21_1250,001,3.0.7,60.013310955915614,
9,0,9,0,,,,,3.0,2.497090600023512,26,001,2019_Nov_21_1250,001,3.0.7,60.013310955915614,
,,,,0,0,0,0,5.0,7.7936733000096865,26,001,2019_Nov_21_1250,001,3.0.7,60.013310955915614,
,,,,1,0,1,0,3.0,2.6983618999947794,26,001,2019_Nov_21_1250,001,3.0.7,60.013310955915614,
,,,,2,0,2,0,3.0,2.581833000003826,26,001,2019_Nov_21_1250,001,3.0.7,60.013310955915614,
,,,,3,0,3,0,4.0,3.6647170999785885,26,001,2019_Nov_21_1250,001,3.0.7,60.013310955915614,
,,,,4,0,4,0,4.0,2.798136900004465,26,001,2019_Nov_21_1250,001,3.0.7,60.013310955915614,
,,,,5,0,5,0,4.0,3.031450300011784,26,001,2019_Nov_21_1250,001,3.0.7,60.013310955915614,
,,,,6,0,6,0,3.0,2.3314400000381283,26,001,2019_Nov_21_1250,001,3.0.7,60.013310955915614,
