practices.thisRepN,practices.thisTrialN,practices.thisN,practices.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,slider.response,slider.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,3.0,7.200309200008633,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
1,0,1,0,,,,,4.0,3.2897145000169985,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
2,0,2,0,,,,,4.0,2.730888199992478,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
3,0,3,0,,,,,4.0,3.2475710999860894,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
4,0,4,0,,,,,2.0,3.346921799995471,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
5,0,5,0,,,,,3.0,3.114570800011279,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
6,0,6,0,,,,,4.0,3.5808726999966893,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
7,0,7,0,,,,,4.0,2.646817100001499,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
8,0,8,0,,,,,2.0,3.047354100010125,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
9,0,9,0,,,,,3.0,3.597629299998516,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,0,0,0,0,3.0,3.0602114999783225,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,1,0,1,0,2.0,4.031600599992089,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,2,0,2,0,2.0,2.2148544999945443,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,3,0,3,0,4.0,2.9980937999789603,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,4,0,4,0,3.0,3.514595000015106,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,5,0,5,0,2.0,3.3818090000131633,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,6,0,6,0,2.0,2.7651454999868292,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,7,0,7,0,2.0,2.180772199993953,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,8,0,8,0,3.0,3.7810190999880433,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,9,0,9,0,3.0,2.981310899980599,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,10,0,10,0,3.0,3.215299600007711,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,11,0,11,0,2.0,4.148555599997053,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,12,0,12,0,4.0,4.781314599997131,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,13,0,13,0,4.0,4.565007800003514,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,14,0,14,0,3.0,3.048060000000987,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,15,0,15,0,3.0,5.098113300016848,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,16,0,16,0,2.0,4.531194199982565,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,17,0,17,0,3.0,5.231525999988662,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,18,0,18,0,4.0,3.614984200015897,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,19,0,19,0,2.0,2.314676700014388,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,20,0,20,0,3.0,3.0651022999954876,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
,,,,21,0,21,0,3.0,4.514572499989299,8,001,2019_Nov_18_1351,001,3.0.7,60.01539995011592,
